LATENCY_IN_MICROS,DUT_INPUT,DUT_OUTPUT,BUFFER_SIZE,SAMPLE_RATE,CHANNELS
615,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
609,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
620,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
605,LINE IN,LINE OUT,0,0,1
620,LINE IN,LINE OUT,0,0,1
620,LINE IN,LINE OUT,0,0,1
614,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
614,LINE IN,LINE OUT,0,0,1
620,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
614,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
614,LINE IN,LINE OUT,0,0,1
611,LINE IN,LINE OUT,0,0,1
622,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
614,LINE IN,LINE OUT,0,0,1
620,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
616,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
611,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
611,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
620,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
621,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
619,LINE IN,LINE OUT,0,0,1
620,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
620,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
616,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
616,LINE IN,LINE OUT,0,0,1
616,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
614,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
618,LINE IN,LINE OUT,0,0,1
620,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
619,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
616,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
621,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
612,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
611,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
620,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
611,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
611,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
620,LINE IN,LINE OUT,0,0,1
616,LINE IN,LINE OUT,0,0,1
620,LINE IN,LINE OUT,0,0,1
620,LINE IN,LINE OUT,0,0,1
620,LINE IN,LINE OUT,0,0,1
620,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
620,LINE IN,LINE OUT,0,0,1
619,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
620,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
614,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
616,LINE IN,LINE OUT,0,0,1
620,LINE IN,LINE OUT,0,0,1
614,LINE IN,LINE OUT,0,0,1
609,LINE IN,LINE OUT,0,0,1
613,LINE IN,LINE OUT,0,0,1
620,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
614,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
616,LINE IN,LINE OUT,0,0,1
609,LINE IN,LINE OUT,0,0,1
614,LINE IN,LINE OUT,0,0,1
620,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
616,LINE IN,LINE OUT,0,0,1
611,LINE IN,LINE OUT,0,0,1
620,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
621,LINE IN,LINE OUT,0,0,1
608,LINE IN,LINE OUT,0,0,1
616,LINE IN,LINE OUT,0,0,1
619,LINE IN,LINE OUT,0,0,1
620,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
620,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
619,LINE IN,LINE OUT,0,0,1
614,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
620,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
611,LINE IN,LINE OUT,0,0,1
616,LINE IN,LINE OUT,0,0,1
620,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
614,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
620,LINE IN,LINE OUT,0,0,1
609,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
605,LINE IN,LINE OUT,0,0,1
620,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
620,LINE IN,LINE OUT,0,0,1
613,LINE IN,LINE OUT,0,0,1
619,LINE IN,LINE OUT,0,0,1
609,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
607,LINE IN,LINE OUT,0,0,1
616,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
616,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
616,LINE IN,LINE OUT,0,0,1
620,LINE IN,LINE OUT,0,0,1
614,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
613,LINE IN,LINE OUT,0,0,1
614,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
620,LINE IN,LINE OUT,0,0,1
620,LINE IN,LINE OUT,0,0,1
609,LINE IN,LINE OUT,0,0,1
620,LINE IN,LINE OUT,0,0,1
616,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
621,LINE IN,LINE OUT,0,0,1
620,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
620,LINE IN,LINE OUT,0,0,1
620,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
620,LINE IN,LINE OUT,0,0,1
616,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
621,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
621,LINE IN,LINE OUT,0,0,1
613,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
619,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
609,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
620,LINE IN,LINE OUT,0,0,1
612,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
612,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
611,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
620,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
609,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
620,LINE IN,LINE OUT,0,0,1
614,LINE IN,LINE OUT,0,0,1
611,LINE IN,LINE OUT,0,0,1
614,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
616,LINE IN,LINE OUT,0,0,1
620,LINE IN,LINE OUT,0,0,1
616,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
611,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
619,LINE IN,LINE OUT,0,0,1
616,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
614,LINE IN,LINE OUT,0,0,1
620,LINE IN,LINE OUT,0,0,1
620,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
614,LINE IN,LINE OUT,0,0,1
616,LINE IN,LINE OUT,0,0,1
611,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
620,LINE IN,LINE OUT,0,0,1
613,LINE IN,LINE OUT,0,0,1
614,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
620,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
605,LINE IN,LINE OUT,0,0,1
620,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
609,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
609,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
609,LINE IN,LINE OUT,0,0,1
614,LINE IN,LINE OUT,0,0,1
616,LINE IN,LINE OUT,0,0,1
616,LINE IN,LINE OUT,0,0,1
619,LINE IN,LINE OUT,0,0,1
609,LINE IN,LINE OUT,0,0,1
614,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
616,LINE IN,LINE OUT,0,0,1
616,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
605,LINE IN,LINE OUT,0,0,1
609,LINE IN,LINE OUT,0,0,1
614,LINE IN,LINE OUT,0,0,1
613,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
613,LINE IN,LINE OUT,0,0,1
622,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
608,LINE IN,LINE OUT,0,0,1
612,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
616,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
616,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
608,LINE IN,LINE OUT,0,0,1
617,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
611,LINE IN,LINE OUT,0,0,1
611,LINE IN,LINE OUT,0,0,1
612,LINE IN,LINE OUT,0,0,1
615,LINE IN,LINE OUT,0,0,1
610,LINE IN,LINE OUT,0,0,1
611,LINE IN,LINE OUT,0,0,1
